zh	en	id	category	register	meaning_en	avoid
陛下	Your Majesty	Yang Mulia;Baginda	title_honorific	historical	honorific form of address for an emperor	under the steps
殿下	Your Highness		title_honorific	historical	honorific form of address for a crown prince or prince	beneath the hall
皇上	Your Majesty;the Emperor		title_honorific	historical	the reigning emperor, or direct address to him
太子	Crown Prince		title_honorific	historical	the emperor's designated heir
王爷	Your Highness;the Prince		title_honorific	historical	an imperial prince, or direct address to one
娘娘	Your Highness;Your Ladyship		title_honorific	historical	address for an empress or imperial consort
大人	my lord;Your Excellency		title_honorific	historical	address for a ranking official	adult;grown-up
公子	young master		title_honorific	historical	address for a young man of standing
姑娘	miss;young lady		title_honorific	historical	address for a young woman
丞相	Chancellor;Prime Minister		title_honorific	historical	the emperor's chief minister
将军	General		title_honorific	historical	a military commander
江湖	jianghu;the martial world	dunia persilatan	wuxia_term	historical	the world of martial artists operating outside mainstream society	rivers and lakes
武林	the martial world;wulin		wuxia_term	historical	the community of martial-arts practitioners	martial forest
师父	master		cultivation	historical	one's own martial-arts or sect teacher
师兄	senior brother		cultivation	historical	a senior male fellow disciple of the same master	teacher brother
师弟	junior brother		cultivation	historical	a junior male fellow disciple of the same master
师姐	senior sister		cultivation	historical	a senior female fellow disciple of the same master
师妹	junior sister		cultivation	historical	a junior female fellow disciple of the same master
内力	internal energy		martial_arts	historical	cultivated inner force powering martial techniques	internal strength
轻功	lightness skill;qinggong		martial_arts	historical	the martial art of moving with great lightness and agility	light work
走火入魔	qi deviation		cultivation	historical	to lose control while cultivating and suffer internal injury	catch fire and enter the devil
画蛇添足	gild the lily		chengyu	neutral	to ruin something by adding what is unnecessary	draw a snake and add feet
